Genes	Taxa
8415576	COG2801
18633102	COG2801
3460235	COG2801
7642245	COG2801
1406849	COG2801
107534	COG2801
14784014	COG2801
14666032	COG2801
17073298	COG2801
4152755	COG2801
10447148	COG2801
19315974	COG2801
13519458	COG2801
6211955	COG2801
6007877	COG2801
5285484	COG2801
18217625	COG2801
16241203	COG2801
2741560	COG2801
3356805	COG2801
9366982	COG2801
8083346	COG2801
8128584	COG2801
8543725	COG2801
7143869	COG2801
6858175	COG2801
11791146	COG2801
7680096	COG2801
10447172	COG2801
4152670	COG2801
16241179	COG2801
6109882	COG2801
18643962	COG2801
6448293	COG2801
9840027	COG2801
3356763	COG2801
18217921	COG2801
3808370	COG2801
11679094	COG2801
6237908	COG2801
12710727	COG2801
16384083	COG2801
6572019	COG2801
19010528	COG2801
8438334	COG2801
12805284	COG2801
15283497	COG2801
3234663	COG2801
6214533	COG2801
13017372	COG2801
6288743	COG2801
12053437	COG2801
9726199	COG2801
12754804	COG2801
1957332	COG2801
17057223	COG2801
16812521	COG2801
13797277	COG2801
12672595	COG2801
16667962	COG2801
13808250	COG2801
2554259	COG2801
1504349	COG2801
11971504	COG2801
2717366	COG2801
6214355	COG2801
14528785	COG2801
7945315	COG2801
3177048	COG2801
6338904	COG2801
1314159	COG2801
13797347	COG2801
10002665	COG2801
17567190	COG2801
18818756	COG2801
16850665	COG2801
5109439	COG2801
18818181	COG2801
6260713	COG2801
4224455	COG2801
11303448	COG2801
9969708	COG2801
17497626	COG2801
15019453	COG2801
14546345	COG2801
15617372	COG2801
5471903	COG2801
11671926	COG2801
12108647	COG2801
2192469	COG2801
7690553	COG2801
14166446	COG2801
11671783	COG2801
12278241	COG2801
708908	COG2801
5235197	COG2801
7375531	COG2801
10315253	COG2801
8461746	COG2801
15019512	COG2801
8242469	COG2801
4062282	COG2801
1002179	COG2801
17089982	COG2801
12610836	COG2801
527407	COG2801
13586651	COG2801
2085772	COG2801
11469779	COG2801
3879439	COG2801
18447250	COG2801
2780293	COG2801
18804627	COG2801
17663776	COG2801
8667699	COG2801
18205063	COG2801
17974637	COG2801
13526808	COG2801
1980013	COG2801
16815197	COG2801
8403613	COG2801
8813834	COG2801
8403637	COG2801
17750734	COG2801
16426379	COG2801
16512606	COG2801
16741616	COG2801
8403614	COG2801
13714478	COG2801
14059178	COG2801
12848098	COG2801
7405635	COG2801
2862075	COG2801
6176885	COG2801
9728162	COG2801
9985810	COG2801
18647900	COG2801
6020755	COG2801
6600423	COG2801
16690145	COG2801
13135716	COG2801
7266306	COG2801
4215231	COG2801
6160324	COG2801
11148004	COG2801
18505781	COG2801
5045504	COG2801
17395298	COG2801
144006	COG2801
15722446	COG2801
380899	COG2801
5465999	COG2801
969453	COG2801
5223100	COG2801
9131924	COG2801
11840970	COG2801
6696842	COG2801
17877952	COG2801
11525635	COG2801
17147477	COG2801
17430351	COG2801
16327860	COG2801
8850284	COG2801
15061688	COG2801
5118359	COG2801
574907	COG2801
13491396	COG2801
16327603	COG2801
13135633	COG2801
2158414	COG2801
4687846	COG2801
984967	COG2801
17395435	COG2801
2158456	COG2801
969475	COG2801
11977826	COG2801
10848500	COG2801
18690825	COG2801
12083047	COG2801
18530619	COG2801
8384743	COG2801
18372851	COG2801
17129763	COG2801
14676796	COG2801
16952279	COG2801
17027234	COG2801
577527	COG2801
9838669	COG2801
7529987	COG2801
13667350	COG2801
12918588	COG2801
441676	COG2801
595471	COG2801
2874046	COG2801
10176154	COG2801
9564688	COG2801
6457667	COG2801
13593813	COG2801
18530788	COG2801
595814	COG2801
8330814	COG2801
14790979	COG2801
140271	COG2801
267446	COG2801
700201	COG2801
12470708	COG2801
11609810	COG2801
12470478	COG2801
7542800	COG2801
1949178	COG2801
10359093	COG2801
7034283	COG2801
6396824	COG2801
6834909	COG2801
16599143	COG2801
14752996	COG2801
3755581	COG2801
6834228	COG2801
10853370	COG2801
16358246	COG2801
12342685	COG2801
9838737	COG2801
9480222	COG2801
14851733	COG2801
1783056	COG2801
13593470	COG2801
12908326	COG2801
9728323	COG2801
17946270	COG2801
15171319	COG2801
12323051	COG2801
9728329	COG2801
12323057	COG2801
9457440	COG2801
1639102	COG2801
2086197	COG2801
2862448	COG2801
15140595	COG2801
17946278	COG2801
2862436	COG2801
13783902	COG2801
15171312	COG2801
10897513	COG2801
17750860	COG2801
6577913	COG2801
4787416	COG2801
10644810	COG2801
17946213	COG2801
7998895	COG2801
9457579	COG2801
7405771	COG2801
13526908	COG2801
2086299	COG2801
16741964	COG2801
18542160	COG2801
1528670	COG2801
9713889	COG2801
612376	COG2801
12848439	COG2801
11857478	COG2801
15637857	COG2801
18793605	COG2801
2707609	COG2801
12323034	COG2801
2086182	COG2801
10926289	COG2801
11014046	COG2801
15140540	COG2801
5151604	COG2801
586150	COG2801
3369097	COG2801
7281786	COG2801
17582674	COG2801
9809877	COG2801
15171340	COG2801
14621367	COG2801
13783654	COG2801
7405811	COG2801
9728309	COG2801
17750879	COG2801
2152029	COG2801
7998899	COG2801
7587298	COG2801
1818708	COG2801
367220	COG2801
16798346	COG2801
11734900	COG2801
14656908	COG2801
12425728	COG2801
5582322	COG2801
2157905	COG2801
17457851	COG2801
17224504	COG2801
1735144	COG2801
6550004	COG2801
18763481	COG2801
15889497	COG2801
17798160	COG2801
18930389	COG2801
18545741	COG2801
1167709	COG2801
5582605	COG2801
6248923	COG2801
12236148	COG2801
3346334	COG2801
8316277	COG2801
5582603	COG2801
11243256	COG2801
15889066	COG2801
7056998	COG2801
17278446	COG2801
17997107	COG2801
14358219	COG2801
6248865	COG2801
4228150	COG2801
12425631	COG2801
2570636	COG2801
18763493	COG2801
17003933	COG2801
12425719	COG2801
11003846	COG2801
13654161	COG2801
3232947	COG2801
17457792	COG2801
4120403	COG2801
18763407	COG2801
1769696	COG2801
10091930	COG2801
7056610	COG2801
5286822	COG2801
17997140	COG2801
9430158	COG2801
4564129	COG2801
12236257	COG2801
9656865	COG2801
6376032	COG2801
11734908	COG2801
13126480	COG2801
6268754	COG2801
19226013	COG2801
1894968	COG2801
17997180	COG2801
2463304	COG2801
7906508	COG2801
1769847	COG2801
1239948	COG2801
1563989	COG2801
6550248	COG2801
13178959	COG2801
17997144	COG2801
15771464	COG2801
3241434	COG2801
6550024	COG2801
7056943	COG2801
17278309	COG2801
5490179	COG2801
4228161	COG2801
14656601	COG2801
2802728	COG2801
1167369	COG2801
1563900	COG2801
14358118	COG2801
17168138	COG2801
18930133	COG2801
4947669	COG2801
13126442	COG2801
3232956	COG2801
16315744	COG2801
14358114	COG2801
17168063	COG2801
2570797	COG2801
4228176	COG2801
1601339	COG2801
15889035	COG2801
9613460	COG2801
9613387	COG2801
6268771	COG2801
3241644	COG2801
17278442	COG2801
8316307	COG2801
2157929	COG2801
482052	COG2801
16541220	COG2801
6248849	COG2801
2802729	COG2801
12236231	COG2801
5573094	COG2801
3500071	COG2801
8316303	COG2801
12800149	COG2801
13243419	COG2801
17798206	COG2801
16798423	COG2801
5870733	COG2801
16315546	COG2801
15116118	COG2801
13126405	COG2801
6550417	COG2801
2463251	COG2801
16541296	COG2801
18572638	COG2801
18545620	COG2801
5286880	COG2801
10091922	COG2801
5870624	COG2801
15771154	COG2801
2180278	COG2801
15889146	COG2801
13126375	COG2801
3241469	COG2801
14427566	COG2801
2230152	COG2801
18763399	COG2801
4228197	COG2801
13243410	COG2801
7906434	COG2801
2802636	COG2801
2230218	COG2801
16798435	COG2801
1702591	COG2801
9613520	COG2801
5582313	COG2801
15116190	COG2801
17278606	COG2801
16798386	COG2801
12272456	COG2801
2230164	COG2801
4120351	COG2801
5490550	COG2801
12576716	COG2801
9275624	COG2801
4020416	COG2801
14427397	COG2801
2463158	COG2801
15530935	COG2801
18572433	COG2801
4228097	COG2801
4947665	COG2801
1563867	COG2801
5490428	COG2801
16315599	COG2801
7056827	COG2801
1225256	COG2801
9275398	COG2801
6662052	COG2801
18545713	COG2801
2802697	COG2801
14358137	COG2801
17278729	COG2801
5582357	COG2801
11564831	COG2801
16541262	COG2801
9369828	COG2801
9275335	COG2801
11564901	COG2801
17798436	COG2801
8204564	COG2801
8204809	COG2801
13761306	COG2801
19003575	COG2801
5573066	COG2801
16798443	COG2801
16798405	COG2801
6248902	COG2801
5490580	COG2801
15980708	COG2801
3241550	COG2801
8316293	COG2801
12816584	COG2801
7780438	COG2801
17224248	COG2801
4947630	COG2801
17997119	COG2801
9613504	COG2801
15116165	COG2801
9369524	COG2801
6550018	COG2801
15980745	COG2801
15889204	COG2801
1167322	COG2801
19344257	COG2801
16315683	COG2801
16315583	COG2801
16798421	COG2801
3232941	COG2801
5582448	COG2801
3232996	COG2801
9303667	COG2801
11734535	COG2801
12576464	COG2801
6376026	COG2801
11564812	COG2801
17798181	COG2801
16541293	COG2801
9613226	COG2801
17278352	COG2801
4564079	COG2801
16541239	COG2801
19003519	COG2801
9613223	COG2801
15492922	COG2801
11941983	COG2801
5180088	COG2801
17304352	COG2801
1429096	COG2801
769475	COG2801
15322926	COG2801
9073734	COG2801
10730734	COG2801
11941882	COG2801
2841555	COG2801
11983157	COG2801
1429143	COG2801
8474905	COG2801
7706831	COG2801
1024764	COG2801
5116218	COG2801
13273862	COG2801
7493905	COG2801
14014950	COG2801
11812251	COG2801
9073776	COG2801
10846549	COG2801
10911100	COG2801
11089091	COG2801
14135612	COG2801
3584993	COG2801
9755167	COG2801
14434362	COG2801
5116092	COG2801
14180621	COG2801
5053123	COG2801
17547083	COG2801
14180584	COG2801
11983134	COG2801
5180058	COG2801
1914821	COG2801
5053129	COG2801
7420926	COG2801
7706778	COG2801
8474991	COG2801
9412600	COG2801
9278875	COG2801
7278787	COG2801
6908158	COG2801
9765827	COG2801
6317710	COG2801
2716316	COG2801
13780724	COG2801
1068422	COG2801
11034582	COG2801
6420943	COG2801
17477931	COG2801
16857691	COG2801
14778861	COG2801
8207770	COG2801
1101289	COG2801
11916100	COG2801
13850183	COG2801
13838368	COG2801
10157659	COG2801
6908825	COG2801
13838958	COG2801
584264	COG2801
12720748	COG2801
249959	COG2801
15201797	COG2801
3778270	COG2801
10368484	COG2801
11509205	COG2801
5232864	COG2801
18370800	COG2801
18370798	COG2801
16063148	COG2801
9661726	COG2801
5419427	COG2801
12348420	COG2801
11933749	COG2801
15073388	COG2801
7562665	COG2801
7278154	COG2801
3527557	COG2801
14790316	COG2801
6537991	COG2801
14273310	COG2801
7146943	COG2801
15858198	COG2801
16329255	COG2801
8319014	COG2801
162115	COG2801
6370414	COG2801
13822332	COG2801
10774390	COG2801
11936838	COG2801
2214996	COG2801
10094965	COG2801
5703602	COG2801
11774641	COG2801
13769641	COG2801
17943060	COG2801
17793526	COG2801
13335059	COG2801
15202599	COG2801
5304252	COG2801
3818971	COG2801
7010529	COG2801
3018629	COG2801
1613983	COG2801
698795	COG2801
6370667	COG2801
14273244	COG2801
17793682	COG2801
15202610	COG2801
17793600	COG2801
4168599	COG2801
5703453	COG2801
10883905	COG2801
4082384	COG2801
13335295	COG2801
13637918	COG2801
13224612	COG2801
16731558	COG2801
4082099	COG2801
4025917	COG2801
1613595	COG2801
6125655	COG2801
698856	COG2801
12935520	COG2801
19073006	COG2801
10094772	COG2801
17943269	COG2801
10331877	COG2801
17061030	COG2801
14676028	COG2801
13637863	COG2801
18989155	COG2801
9042191	COG2801
14676007	COG2801
14790340	COG2801
3018262	COG2801
17793563	COG2801
13908252	COG2801
4168252	COG2801
535456	COG2801
11397764	COG2801
2233077	COG2801
13637933	COG2801
13908346	COG2801
17702699	COG2801
7418083	COG2801
16731368	COG2801
17793570	COG2801
15715555	COG2801
6125683	COG2801
14273063	COG2801
12119556	COG2801
9042307	COG2801
4168560	COG2801
7146951	COG2801
4731119	COG2801
7517970	COG2801
14711093	COG2801
14291353	COG2801
13841921	COG2801
13224692	COG2801
14711108	COG2801
10602938	COG2801
15202548	COG2801
10094768	COG2801
5342212	COG2801
13908207	COG2801
12092682	COG2801
10774329	COG2801
11397822	COG2801
4082157	COG2801
15666903	COG2801
8319019	COG2801
12119887	COG2801
16329318	COG2801
12119417	COG2801
6370985	COG2801
16329013	COG2801
1965068	COG2801
11710776	COG2801
18897349	COG2801
12092593	COG2801
5703485	COG2801
12119759	COG2801
7010436	COG2801
6296152	COG2801
1965013	COG2801
6296454	COG2801
17793593	COG2801
17943221	COG2801
3398775	COG2801
4082370	COG2801
7911951	COG2801
13769770	COG2801
2214539	COG2801
13871941	COG2801
13908333	COG2801
12092764	COG2801
13335319	COG2801
13224856	COG2801
17943281	COG2801
10774168	COG2801
4168239	COG2801
7146919	COG2801
10094925	COG2801
13546485	COG2801
15858264	COG2801
13908088	COG2801
18897142	COG2801
11397162	COG2801
14291362	COG2801
17702436	COG2801
13335397	COG2801
10602924	COG2801
4170245	COG2801
14060792	COG2801
10446415	COG2801
18064348	COG2801
18335240	COG2801
17519691	COG2801
6620616	COG2801
9252471	COG2801
1127153	COG2801
5728623	COG2801
14763653	COG2801
3370024	COG2801
15657150	COG2801
13985464	COG2801
9252274	COG2801
4251897	COG2801
14937219	COG2801
16084169	COG2801
36134	COG2801
4657022	COG2801
13369151	COG2801
11451762	COG2801
3089406	COG2801
15001776	COG2801
13985612	COG2801
15001548	COG2801
13369411	COG2801
17751334	COG2801
7649694	COG2801
13977863	COG2801
19311170	COG2801
7649642	COG2801
11041405	COG2801
19055797	COG2801
11925357	COG2801
8709001	COG2801
3498931	COG2801
7649701	COG2801
2186145	COG2801
15657131	COG2801
13985592	COG2801
19266004	COG2801
7986358	COG2801
16511108	COG2801
12043268	COG2801
17902235	COG2801
5722720	COG2801
7900081	COG2801
16801263	COG2801
4689447	COG2801
2270437	COG2801
16391663	COG2801
7900142	COG2801
13496475	COG2801
18184412	COG2801
6463407	COG2801
16968906	COG2801
10421828	COG2801
2184432	COG2801
3425781	COG2801
8104601	COG2801
18821235	COG2801
13951398	COG2801
9679937	COG2801
6043726	COG2801
13688453	COG2801
19266028	COG2801
3425754	COG2801
4689565	COG2801
2737633	COG2801
2748566	COG2801
13346652	COG2801
18184389	COG2801
4689452	COG2801
2453825	COG2801
1576267	COG2801
17902042	COG2801
2718367	COG2801
14459494	COG2801
16120516	COG2801
16801271	COG2801
5025494	COG2801
14459529	COG2801
6463402	COG2801
12882957	COG2801
4689422	COG2801
10896783	COG2801
5025475	COG2801
17783016	COG2801
2154077	COG2801
2122099	COG2801
12721992	COG2801
4510163	COG2801
16462731	COG2801
8566799	COG2801
12372390	COG2801
6691632	COG2801
1158865	COG2801
2092966	COG2801
7141570	COG2801
6691644	COG2801
18725157	COG2801
16017155	COG2801
16818902	COG2801
11848279	COG2801
14171884	COG2801
12520582	COG2801
3132902	COG2801
6590220	COG2801
2721268	COG2801
6770059	COG2801
14367363	COG2801
604452	COG2801
9511952	COG2801
10832577	COG2801
12775932	COG2801
14171893	COG2801
15478885	COG2801
18434809	COG2801
11848270	COG2801
5696951	COG2801
2134779	COG2801
10582846	COG2801
9634414	COG2801
1961093	COG2801
9634601	COG2801
18285350	COG2801
17157092	COG2801
2568838	COG2801
2568798	COG2801
2446162	COG2801
11920107	COG2801
15060128	COG2801
10771699	COG2801
9447530	COG2801
3671427	COG2801
952785	COG2801
5603476	COG2801
3240686	COG2801
3240184	COG2801
18176568	COG2801
16301997	COG2801
15470149	COG2801
18176820	COG2801
14765566	COG2801
15005977	COG2801
3782384	COG2801
5053675	COG2801
17277930	COG2801
9663781	COG2801
2374081	COG2801
5733539	COG2801
8354028	COG2801
1141943	COG2801
8958675	COG2801
2446184	COG2801
3782814	COG2801
5455671	COG2801
6150189	COG2801
7003984	COG2801
2531125	COG2801
14447032	COG2801
19130701	COG2801
13505199	COG2801
16441975	COG2801
2047007	COG2801
18285907	COG2801
11733884	COG2801
18285800	COG2801
14727644	COG2801
2446042	COG2801
3231695	COG2801
18516065	COG2801
10911548	COG2801
2047758	COG2801
2229523	COG2801
1961458	COG2801
1786833	COG2801
3930537	COG2801
130882	COG2801
18485979	COG2801
16441789	COG2801
11733607	COG2801
10893322	COG2801
14946596	COG2801
4612190	COG2801
2169888	COG2801
8958418	COG2801
9663251	COG2801
5696972	COG2801
1768594	COG2801
5116339	COG2801
11983317	COG2801
17797094	COG2801
11030207	COG2801
18285279	COG2801
11547033	COG2801
17295889	COG2801
3930116	COG2801
13489164	COG2801
9326954	COG2801
15199200	COG2801
16283243	COG2801
7003299	COG2801
7089276	COG2801
4384438	COG2801
10771647	COG2801
15470820	COG2801
17797276	COG2801
1857632	COG2801
4078008	COG2801
5603805	COG2801
10893882	COG2801
17042923	COG2801
769612	COG2801
6388104	COG2801
14727635	COG2801
17864089	COG2801
14681160	COG2801
5733003	COG2801
12326931	COG2801
17232842	COG2801
17245121	COG2801
18906999	COG2801
5354347	COG2801
18485149	COG2801
18323929	COG2801
17277444	COG2801
8730355	COG2801
1786467	COG2801
9634539	COG2801
19083593	COG2801
11581202	COG2801
206434	COG2801
9634605	COG2801
18838471	COG2801
3231841	COG2801
2531118	COG2801
18838012	COG2801
1786869	COG2801
2506374	COG2801
3106343	COG2801
1857657	COG2801
7131334	COG2801
16258274	COG2801
16301871	COG2801
5180378	COG2801
5354200	COG2801
18950319	COG2801
9201136	COG2801
7131888	COG2801
18929069	COG2801
16258441	COG2801
2229788	COG2801
10582586	COG2801
13505329	COG2801
952677	COG2801
18277124	COG2801
10911714	COG2801
16258555	COG2801
10999563	COG2801
3106495	COG2801
16362055	COG2801
3671818	COG2801
17295767	COG2801
3432267	COG2801
6744062	COG2801
1141458	COG2801
2677843	COG2801
16283141	COG2801
11581507	COG2801
14765752	COG2801
14271643	COG2801
10403807	COG2801
10780948	COG2801
1142960	COG2801
7580612	COG2801
10214664	COG2801
2967422	COG2801
18711031	COG2801
2689582	COG2801
15381184	COG2801
1924810	COG2801
4489615	COG2801
3720521	COG2801
6043922	COG2801
18184732	COG2801
1991068	COG2801
9808972	COG2801
13464023	COG2801
2768968	COG2801
12043795	COG2801
15595236	COG2801
15836077	COG2801
15375457	COG2801
932065	COG2801
3660807	COG2801
16700160	COG2801
6699194	COG2801
11284888	COG2801
17218933	COG2801
18157396	COG2801
14929808	COG2801
2768993	COG2801
19266081	COG2801
15932661	COG2801
1991256	COG2801
6339350	COG2801
19283767	COG2801
14718448	COG2801
16511642	COG2801
11817072	COG2801
18821862	COG2801
10933019	COG2801
11707895	COG2801
17573078	COG2801
2737936	COG2801
15336204	COG2801
6780651	COG2801
17218905	COG2801
693100	COG2801
14596258	COG2801
12875816	COG2801
241864	COG2801
15169306	COG2801
4634424	COG2801
18567016	COG2801
6733505	COG2801
11007744	COG2801
910598	COG2801
6894852	COG2801
11784305	COG2801
15117379	COG2801
11645885	COG2801
9263560	COG2801
8741783	COG2801
14515099	COG2801
10162154	COG2801
15981228	COG2801
11006066	COG2801
17631537	COG2801
3535014	COG2801
5309237	COG2801
18163238	COG2801
16770953	COG2801
3196992	COG2801
18368713	COG2801
16928277	COG2801
5816153	COG2801
12751097	COG2801
9913050	COG2801
1825710	COG2801
19165741	COG2801
7287157	COG2801
10433258	COG2801
1589378	COG2801
7489584	COG2801
3005428	COG2801
17858471	COG2801
8831495	COG2801
2725745	COG2801
11235607	COG2801
11159649	COG2801
16210570	COG2801
11735597	COG2801
10571968	COG2801
18021559	COG2801
17507085	COG2801
8679721	COG2801
16663864	COG2801
8642929	COG2801
16125715	COG2801
15035886	COG2801
18427672	COG2801
15623096	COG2801
17607344	COG2801
1589010	COG2801
6733305	COG2801
7697862	COG2801
6733116	COG2801
13231850	COG2801
5779099	COG2801
16219700	COG2801
5927532	COG2801
9189885	COG2801
14891556	COG2801
2102529	COG2801
1757853	COG2801
1895994	COG2801
996455	COG2801
14552112	COG2801
803532	COG2801
9497143	COG2801
12923123	COG2801
2968036	COG2801
10622180	COG2801
6469539	COG2801
10508169	COG2801
5278547	COG2801
8325204	COG2801
12692553	COG2801
3535052	COG2801
18021658	COG2801
2407800	COG2801
13147640	COG2801
18144346	COG2801
6050060	COG2801
2725190	COG2801
15890819	COG2801
16187691	COG2801
13655201	COG2801
3074901	COG2801
1171614	COG2801
5157394	COG2801
17578491	COG2801
18163644	COG2801
18021634	COG2801
7569417	COG2801
1663121	COG2801
15591783	COG2801
8741808	COG2801
16009824	COG2801
9189727	COG2801
16219509	COG2801
18845645	COG2801
16071397	COG2801
2993467	COG2801
378192	COG2801
9148613	COG2801
17381105	COG2801
13561295	COG2801
4814381	COG2801
10336963	COG2801
16401565	COG2801
662177	COG2801
6336538	COG2801
11508198	COG2801
5789850	COG2801
18384396	COG2801
6531706	COG2801
13010538	COG2801
4699544	COG2801
18910702	COG2801
2943917	COG2801
2065298	COG2801
16011260	COG2801
14696116	COG2801
2744359	COG2801
12253413	COG2801
1359220	COG2801
12671568	COG2801
10673727	COG2801
5209051	COG2801
12465458	COG2801
5174096	COG2801
13484880	COG2801
10336930	COG2801
9346001	COG2801
16003342	COG2801
15084584	COG2801
9156790	COG2801
4767677	COG2801
16889797	COG2801
6531119	COG2801
12416185	COG2801
9849149	COG2801
12489240	COG2801
13719098	COG2801
18304538	COG2801
17878971	COG2801
17381622	COG2801
2388849	COG2801
19276751	COG2801
10766549	COG2801
13484227	COG2801
4285639	COG2801
3043337	COG2801
12480137	COG2801
12145954	COG2801
5369159	COG2801
9801157	COG2801
18153313	COG2801
18962212	COG2801
19109958	COG2801
17226342	COG2801
14760553	COG2801
17381146	COG2801
4783739	COG2801
18193659	COG2801
6722503	COG2801
18304937	COG2801
5368364	COG2801
6914141	COG2801
13492869	COG2801
4348888	COG2801
4699502	COG2801
6924494	COG2801
4767979	COG2801
17878192	COG2801
15084425	COG2801
12531765	COG2801
15795261	COG2801
4089775	COG2801
8538068	COG2801
8365181	COG2801
18193032	COG2801
14027686	COG2801
10673802	COG2801
7684012	COG2801
11245877	COG2801
10880207	COG2801
12489194	COG2801
9649676	COG2801
10263123	COG2801
19153225	COG2801
12531861	COG2801
15614736	COG2801
15511665	COG2801
14619317	COG2801
2439950	COG2801
16328292	COG2801
5448869	COG2801
628849	COG2801
4483289	COG2801
14215045	COG2801
13906206	COG2801
3623601	COG2801
2439900	COG2801
11426463	COG2801
11426658	COG2801
12746092	COG2801
4956394	COG2801
931718	COG2801
3754482	COG2801
1691948	COG2801
1520997	COG2801
6205859	COG2801
4483147	COG2801
13334442	COG2801
8066812	COG2801
1010858	COG2801
17315317	COG2801
6205712	COG2801
1520634	COG2801
